ITEM_CODE,ITEM_NAME,DEPT,VALUE
131540,"CHESTNUT KNIFE UR3366","HOUSEWARE & KITCHENWARE",19.8
132926,"SERVING BOWL MELAMINE 8 INCHES FEILU 33108","HOUSEWARE & KITCHENWARE",99
148406,"PLACEMAT ROUND GOLDSILVER 6PCS","HOME DECOR & TEXTILES",1106
14724,"EASY MOUZOO COCKTAIL JUICE GLASS BOTTLE 250ML 24",SUPERMARKET,1318.8
145733,"5 STAR PINEAPPLE KIDS JUICE 200ML 20",SUPERMARKET,2.99
139874,"MRS BECTORS CREAM CHOCOLATE 92GM 24",SUPERMARKET,6.99
153850,"ACTIVITY BOOKS I CAN SOLVE",STATIONERY,272.3
150170,"FILLED CUSHION TAUPE 45X45CM DC02","HOME DECOR & TEXTILES",1188
149289,"CERES NECTAR ORANGE BLISS JUICE DRINK 1L 12",SUPERMARKET,1103.76
166548,"WATER BOTTLE 2PCSPACK PNP35032X2P2","HOUSEWARE & KITCHENWARE",89.7
164124,"HARIBO HAPPY COLA 100G  30",SUPERMARKET,21.99
159859,"STICK NOTE SET 90 SHEETS20 SHEETS",STATIONERY,59.4
160269,"SAUCE BOTTLE 2PCS SET 600ML PLASTIC 8800A YWU","HOUSEWARE & KITCHENWARE",309.6
159278,"WHITE BOARD MARKER SET 3PCS",STATIONERY,154.8
161820,"MIRROR 53X60CM","HOME DECOR & TEXTILES",1396
160884,"DINNER PLATE MELAMINE 10 INCHES FEILU 215105","HOUSEWARE & KITCHENWARE",19.9
174330,"PILOT ROLLER BALL PEN FRIXION METAMO BLUE BLFR10B",STATIONERY,347.88
172892,"TAMPICO GRAPE PUNCH  JUICE 500ML 12",SUPERMARKET,295.63
174401,"WAX CRAYONS EXTRA LONG 2371",STATIONERY,129
174515,"DOMS WATER COLOUR TUBE WPALETTE 18SHADE 80376",STATIONERY,392
174517,"DOMS BALL PEN INXIFY SOFTY BLUE 5PCS 80299",STATIONERY,20.97
171641,"KALYON WET WIPES CHAMOMILLE 100WIPES 12",SUPERMARKET,391.86
168942,"FRY PAN 24CM 3MM BLK FALU BAROLY 852224 RJK","HOUSEWARE & KITCHENWARE",297
180278,"SOUP SPOON WROSEWOOD HANDLE RH2001","HOUSEWARE & KITCHENWARE",45.8
179130,"INFLATER PUMP 8 INCH OPP YW","TOYS AND ENTERTAINMENT",9.9
178304,"CLOCK 60CM F208","HOME DECOR & TEXTILES",479
178488,"LINC PENTONIC BALLPEN SWITCH BLUE 07MM TUB 100",STATIONERY,15.6
176032,"BROOM WSTICK TURTLE GBB24","HOUSEWARE & KITCHENWARE",19.9
18767,"VITAMILK BANANA 300ML  24",SUPERMARKET,16.99
188075,"NIVEA DEO SPRAY BW INVISIBLE CLEAR 72H  200ML 12",SUPERMARKET,983.88
182518,"CONTAINER 2PCS SET 1700ML RECT CLEAR  PP66100","HOUSEWARE & KITCHENWARE",49.9
192611,"KNIFE WSH 2PCS SET WBLACK HANDLEHFDJTZ167 430SS PP","HOUSEWARE & KITCHENWARE",917.7
192359,"STAPLES 246 MP59607",STATIONERY,43.89
200293,"HH CANNED TUNA IN VEGETABLE OIL 160G 24",SUPERMARKET,514.29
198169,"TISSUE HOLDER METAL YWU","HOUSEWARE & KITCHENWARE",16.9
195728,"ELLE HOME SOAP DISPENSER SET 2PCS EB202406191","HOUSEWARE & KITCHENWARE",359.2
195770,"OIL DIFFUSER  150ML TY104B","HOME DECOR & TEXTILES",209
25963,"POUCH 20PCS IN OPP  904B",LUGGAGE,59
202627,"PLATE 10 G3300610","HOUSEWARE & KITCHENWARE",619.2
88509,"DISPOSABLE SILVER CUTLERY FORK 20PCS YWU","HOUSEWARE & KITCHENWARE",4.9
