SHOP_CODE,ITEM_CODE,ITEM_NAME,PRICE,ERP_QTY,DEPT
MAS,07969,"SAF LEVURE INSTANT YEAST PACK 500G 20",49.99,17,SUPERMARKET
MSS,07969,"SAF LEVURE INSTANT YEAST PACK 500G 20",49.99,3,SUPERMARKET
LFS,07969,"SAF LEVURE INSTANT YEAST PACK 500G 20",49.99,7,SUPERMARKET
KS7,07972,"BAKING POWDER 450G 18",57.99,18,SUPERMARKET
KAS,07979,"PEAK MILK POWDER TIN  400G 24",109.99,8,SUPERMARKET
SPN,07984,"JOHNSON JOHNSON BABY OIL 200ML 6 23611",39.99,7,SUPERMARKET
SPN,07985,"JOHNSON BABY OIL 500ML 24",69.99,29,SUPERMARKET
HAA,07986,"JOHNSONJOHNSON BABY SHAMPOO 300ML 6",35.99,4,SUPERMARKET
GBA,08007,"BB COCKTAIL DE FRUITS  330ML 24",13.49,161,SUPERMARKET
M03,08026,"OMO AUTO WASH  2KG  9",172.99,5,SUPERMARKET
SPN,08274,"NAN 3 OPTIPRO 400G 12",139.99,35,SUPERMARKET
KS7,08277,"NESCAFE COFFEE GOLD BLEND 190G  6",234.99,22,SUPERMARKET
TMP,08324,"ROYALTY COCKTAIL RASP RUBY SPARKLING WINE 750ML 12",47.49,24,SUPERMARKET
KS7,08324,"ROYALTY COCKTAIL RASP RUBY SPARKLING WINE 750ML 12",47.49,16,SUPERMARKET
KAS,08324,"ROYALTY COCKTAIL RASP RUBY SPARKLING WINE 750ML 12",47.49,4,SUPERMARKET
TMP,08339,"EMBORG PEAS  CARROTS 900G 12",85.99,11,SUPERMARKET
SPN,08351,"VITAMILK REGULAR 300ML 24",16.99,92,SUPERMARKET
MAS,08351,"VITAMILK REGULAR 300ML 24",16.99,45,SUPERMARKET
MSS,08365,"BATCHELOR SUPER NODDLES POT BBQ BEEF 75G 8",32.99,8,SUPERMARKET
LFS,08370,"HEINZ CHILI SAUCE 12OZ340G",74.99,24,SUPERMARKET
SPN,08434,"BLUE DRAGON SWEET CHILLIGARLIC STIR FRY 120G  12",24.99,20,SUPERMARKET
TMP,08477,"HARIBO GIANT STRAWBS 140G154G  12",29.99,38,SUPERMARKET
GBA,08490,"SANKOFA SWEET PLANTAIN CHIPS CHILI BEEF 50G 25",14.99,25,SUPERMARKET
MAS,08497,"PASCUAL YOGHURT TC APRICOT  MANGO 125GX4 6",64.99,4,SUPERMARKET
FAR,08502,"PASCUAL YOGHURT TC STRAWBERRIES 125GX4  6",65.99,8,SUPERMARKET
LFS,08508,"AQUAFRESH TOOTHPASTE SPLASH 3  8YRS 50ML 12",36.99,5,SUPERMARKET
M03,08529,"AMBROSIA ORIGINAL CUSTARD POT 150G  12",27.99,8,SUPERMARKET
ACH,08574,"STUTE SUPERIOR RED GRAPE JUICE 15L  6",51.49,2,SUPERMARKET
SPN,08577,"PETIT MOULIN BONBONS FRUITS ASSORTIS 400G  20",66.99,4,SUPERMARKET
