"ITEM CODE","ITEM NAME",PRICE,RACK,USER,QTY,DATE/TIME,DEPT,GROUP,SUB-GROUP
CL608,"BUCKET WITH LID 15LTR 32CMX32CM",34.9,100,SUKHEN,1,"16-JUN-26 04.56.53.151000 PM","HOUSEWARE & KITCHENWARE",LAUNDARY,"BUCKETS AND BASINS"
98800,"IDEAL ORIGINAL EVAPORATED MILK 29G  10 X 18",32.99,12,COLLINS,11,"16-JUN-26 04.54.42.861000 PM",SUPERMARKET,"FOOD CUPBOARD","DRINKING POWDER"
CL704,"QUEEN OF CASSEROLE 2PCS SET PLASTIC 850ML 1350ML",38.9,T,MANOJ,2,"16-JUN-26 05.13.38.202000 PM","HOUSEWARE & KITCHENWARE",SERVEWARE,CASSEROLES
99072,"BARBEQUE UNIT ROUND WDOME TOP 56CM 2020B180 YWU",1199,GH,FH,5,"16-JUN-26 05.08.27.261000 PM","HOUSEWARE & KITCHENWARE",KITCHENWARE,"BBQ AND ACCESSORIES"
95700,"AMALFI BABY SHAM.BABY ARGAN INTENSE SHINE 750ML 16",32.99,T,MANOJ,6,"16-JUN-26 05.00.20.407000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","HAIR CARE"
95706,"AMALFI  SHAMPOO  APPLE 400ML  10",24.99,T,MANOJ,8,"16-JUN-26 04.56.31.850000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","HAIR CARE"
95730,"AMALFI  SHAMPOO FAMILIAR ALOE  750ML  16",32.99,T,MANOJ,17,"16-JUN-26 04.56.46.852000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","HAIR CARE"
95761,"AMALFI SHAMPOO KERATIN ANTI DANDRUFF SPA 750ML  16",32.99,T,MANOJ,10,"16-JUN-26 04.57.10.632000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","HAIR CARE"
94163,"SATNAM PERFUMED INSECT REPELLANT LEMON 141.7GMS",18.99,GH,FH,5,"16-JUN-26 04.53.47.110000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","INSECTICIDES AND RODENT CONTROL"
94163,"SATNAM PERFUMED INSECT REPELLANT LEMON 141.7GMS",18.99,6,AKORFA,8,"16-JUN-26 04.46.04.232000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","INSECTICIDES AND RODENT CONTROL"
94194,"GRATER WCONTAINER ROUND 24CM Y1588928 YWU",19.9,T,MANOJ,11,"16-JUN-26 05.11.43.581000 PM","HOUSEWARE & KITCHENWARE","KNIFE AND CHOPPING BOARD",GRATER
99716,"STYLE UP BODY LOTION 265ML  6",16.99,T,MANOJ,2,"16-JUN-26 04.53.29.775000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","SKIN CARE"
99770,"BO-16 HAIR FOOD YELLOW 225ML  4",27.99,T,MANOJ,4,"16-JUN-26 04.55.15.344000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","HAIR CARE"
94237,"MADAR DETERGENT BAR BLUE 115G  48",4.49,6,AKORFA,5,"16-JUN-26 04.44.54.734000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","LAUNDRY CARE"
96521,"MADAR ZONE BLEACH 500ML  12",12.99,6,AKORFA,8,"16-JUN-26 04.45.43.382000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
